natural_text,bayan_code,logic_explanation,lang,entities,actions,states,split,id
in the park: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex126
في المدرسة: تبريد على جسم,جسم.تبريد(); جسم.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""جسم""]","[""تبريد""]","[""حرارة""]",train,ex127
Ahmed at home performs 'advise' with Maryam,Ahmed.advise(Maryam); Maryam.focus += 0.2,Advice to stay calm improves focus,en,"[""Ahmed"", ""Maryam""]","[""advise""]","[""focus""]",train,ex128
نور في المدرسة يقوم بفعل 'مواساة' مع ليلى,نور.مواساة(ليلى); ليلى.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""نور"", ""ليلى""]","[""مواساة""]","[""حزن""]",train,ex129
at school: cool on Water,Water.cool(); Water.temperature -= 0.3,Cooling lowers temperature,en,"[""Water""]","[""cool""]","[""temperature""]",train,ex130
في البيت: تبريد على كرة,كرة.تبريد(); كرة.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""كرة""]","[""تبريد""]","[""حرارة""]",train,ex131
Mohammed at the hospital performs 'comfort' with Ahmed,Mohammed.comfort(Ahmed); Ahmed.sadness -= 0.3,Comforting reduces sadness,en,"[""Mohammed"", ""Ahmed""]","[""comfort""]","[""sadness""]",train,ex132
فاطمة في المستشفى يقوم بفعل 'تقديم_وجبة' مع مريم,فاطمة.تقديم_وجبة(مريم); مريم.جوع -= 0.4; مريم.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""فاطمة"", ""مريم""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex133
at work: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex134
في العمل: تسريع على صندوق,صندوق.تسريع(); صندوق.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""صندوق""]","[""تسريع""]","[""سرعة""]",train,ex135
Fatimah at home performs 'apologize' with Sarah,Fatimah.apologize(Sarah); Sarah.anger -= 0.2; Sarah.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Fatimah"", ""Sarah""]","[""apologize""]","[""anger"", ""trust""]",train,ex136
في السوق: تبريد على صندوق,صندوق.تبريد(); صندوق.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""صندوق""]","[""تبريد""]","[""حرارة""]",train,ex137
at the market: cool on Car,Car.cool(); Car.temperature -= 0.3,Cooling lowers temperature,en,"[""Car""]","[""cool""]","[""temperature""]",train,ex138
في العمل: طبيب يقوم بـطمأنة لـ مريض,طبيب.طمأنة(مريض); مريض.خوف -= 0.25,الطمأنة تقلل الخوف,ar,"[""طبيب"", ""مريض""]","[""طمأنة""]","[""خوف""]",train,ex139
at work: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex140
محمد في المستشفى يقوم بفعل 'تهنئة' مع سارة,محمد.تهنئة(سارة); سارة.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""محمد"", ""سارة""]","[""تهنئة""]","[""سعادة""]",train,ex141
in the park: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex142
محمد في المستشفى يقوم بفعل 'مواساة' مع خالد,محمد.مواساة(خالد); خالد.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""محمد"", ""خالد""]","[""مواساة""]","[""حزن""]",train,ex143
Ali at school performs 'comfort' with Mohammed,Ali.comfort(Mohammed); Mohammed.sadness -= 0.3,Comforting reduces sadness,en,"[""Ali"", ""Mohammed""]","[""comfort""]","[""sadness""]",train,ex144
يوسف في العمل يقوم بفعل 'تهنئة' مع نور,يوسف.تهنئة(نور); نور.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""يوسف"", ""نور""]","[""تهنئة""]","[""سعادة""]",train,ex145
Noor at the hospital performs 'serve_meal' with Maryam,Noor.serve_meal(Maryam); Maryam.hunger -= 0.4; Maryam.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Noor"", ""Maryam""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex146
في الحديقة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex147
at school: cool on Water,Water.cool(); Water.temperature -= 0.3,Cooling lowers temperature,en,"[""Water""]","[""cool""]","[""temperature""]",train,ex148
في السوق: سحب على كرة_معدنية,كرة_معدنية.سحب(); كرة_معدنية.سرعة += 0.1; كرة_معدنية.طاقة -= 0.05,السحب يغير السرعة وقد يقلل الطاقة,ar,"[""كرة_معدنية""]","[""سحب""]","[""سرعة"", ""طاقة""]",train,ex149
at work: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex150
في البيت: سحب على كرة_معدنية,كرة_معدنية.سحب(); كرة_معدنية.سرعة += 0.1; كرة_معدنية.طاقة -= 0.05,السحب يغير السرعة وقد يقلل الطاقة,ar,"[""كرة_معدنية""]","[""سحب""]","[""سرعة"", ""طاقة""]",train,ex151
Mohammed in the park performs 'comfort' with Ali,Mohammed.comfort(Ali); Ali.sadness -= 0.3,Comforting reduces sadness,en,"[""Mohammed"", ""Ali""]","[""comfort""]","[""sadness""]",train,ex152
في السوق: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex153
at school: push on Object,Object.push(); Object.speed += 0.2; Object.energy -= 0.05,Pushing increases speed based on force and mass,en,"[""Object""]","[""push""]","[""speed"", ""energy""]",train,ex154
في العمل: تسخين على جسم,جسم.تسخين(); جسم.حرارة += 0.3; جسم.طاقة -= 0.05,التسخين يرفع الحرارة,ar,"[""جسم""]","[""تسخين""]","[""حرارة"", ""طاقة""]",train,ex155
at work: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex156
في المدرسة: تبريد على ماء,ماء.تبريد(); ماء.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""ماء""]","[""تبريد""]","[""حرارة""]",train,ex157
Noor at home performs 'congratulate' with Maryam,Noor.congratulate(Maryam); Maryam.happiness += 0.2,Congratulations increase happiness,en,"[""Noor"", ""Maryam""]","[""congratulate""]","[""happiness""]",train,ex158
في العمل: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex159
Ali at school performs 'advise' with Noor,Ali.advise(Noor); Noor.focus += 0.2,Advice to stay calm improves focus,en,"[""Ali"", ""Noor""]","[""advise""]","[""focus""]",train,ex160
فاطمة في الحديقة يقوم بفعل 'نصح' مع أحمد,فاطمة.نصح(أحمد); أحمد.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""فاطمة"", ""أحمد""]","[""نصح""]","[""تركيز""]",train,ex161
at the market: accelerate on Water,Water.accelerate(); Water.speed += 0.25,Acceleration raises speed,en,"[""Water""]","[""accelerate""]","[""speed""]",train,ex162
في المستشفى: دفع على كرة,كرة.دفع(); كرة.سرعة += 0.2; كرة.طاقة -= 0.05,الدفع يزيد السرعة وفق القوة والكتلة,ar,"[""كرة""]","[""دفع""]","[""سرعة"", ""طاقة""]",train,ex163
at work: accelerate on MetalBall,MetalBall.accelerate(); MetalBall.speed += 0.25,Acceleration raises speed,en,"[""MetalBall""]","[""accelerate""]","[""speed""]",train,ex164
في العمل: تسخين على كرة,كرة.تسخين(); كرة.حرارة += 0.3; كرة.طاقة -= 0.05,التسخين يرفع الحرارة,ar,"[""كرة""]","[""تسخين""]","[""حرارة"", ""طاقة""]",train,ex165
at home: pull on Ball,Ball.pull(); Ball.speed += 0.1; Ball.energy -= 0.05,Pulling changes speed and may reduce energy,en,"[""Ball""]","[""pull""]","[""speed"", ""energy""]",train,ex166
علي في المستشفى يقوم بفعل 'تشجيع' مع نور,علي.تشجيع(نور); نور.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""علي"", ""نور""]","[""تشجيع""]","[""ثقة""]",train,ex167
in the park: cool on Car,Car.cool(); Car.temperature -= 0.3,Cooling lowers temperature,en,"[""Car""]","[""cool""]","[""temperature""]",train,ex168
في المدرسة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex169
at the market: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex170
يوسف في الحديقة يقوم بفعل 'تشجيع' مع ليلى,يوسف.تشجيع(ليلى); ليلى.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""يوسف"", ""ليلى""]","[""تشجيع""]","[""ثقة""]",train,ex171
at the market: pull on Ball,Ball.pull(); Ball.speed += 0.1; Ball.energy -= 0.05,Pulling changes speed and may reduce energy,en,"[""Ball""]","[""pull""]","[""speed"", ""energy""]",train,ex172
في الحديقة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex173
Noor at home performs 'congratulate' with Maryam,Noor.congratulate(Maryam); Maryam.happiness += 0.2,Congratulations increase happiness,en,"[""Noor"", ""Maryam""]","[""congratulate""]","[""happiness""]",train,ex174
علي في المدرسة يقوم بفعل 'نصح' مع أحمد,علي.نصح(أحمد); أحمد.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""علي"", ""أحمد""]","[""نصح""]","[""تركيز""]",train,ex175
Layla at school performs 'encourage' with Maryam,Layla.encourage(Maryam); Maryam.trust += 0.25,Encouragement increases trust,en,"[""Layla"", ""Maryam""]","[""encourage""]","[""trust""]",train,ex176
في المدرسة: تسريع على صندوق,صندوق.تسريع(); صندوق.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""صندوق""]","[""تسريع""]","[""سرعة""]",train,ex177
Ali at school performs 'advise' with Noor,Ali.advise(Noor); Noor.focus += 0.2,Advice to stay calm improves focus,en,"[""Ali"", ""Noor""]","[""advise""]","[""focus""]",train,ex178
في العمل: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex179
at work: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex180
في المدرسة: تبريد على صندوق,صندوق.تبريد(); صندوق.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""صندوق""]","[""تبريد""]","[""حرارة""]",train,ex181
Sarah at the hospital performs 'apologize' with Maryam,Sarah.apologize(Maryam); Maryam.anger -= 0.2; Maryam.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Sarah"", ""Maryam""]","[""apologize""]","[""anger"", ""trust""]",train,ex182
في الحديقة: تبريد على ماء,ماء.تبريد(); ماء.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""ماء""]","[""تبريد""]","[""حرارة""]",train,ex183
at school: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex184
في الحديقة: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex185
Fatimah at the hospital performs 'congratulate' with Sarah,Fatimah.congratulate(Sarah); Sarah.happiness += 0.2,Congratulations increase happiness,en,"[""Fatimah"", ""Sarah""]","[""congratulate""]","[""happiness""]",train,ex186
مريم في العمل يقوم بفعل 'تقديم_وجبة' مع علي,مريم.تقديم_وجبة(علي); علي.جوع -= 0.4; علي.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""مريم"", ""علي""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex187
at school: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex188
سارة في المدرسة يقوم بفعل 'نصح' مع محمد,سارة.نصح(محمد); محمد.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""سارة"", ""محمد""]","[""نصح""]","[""تركيز""]",train,ex189
Khaled at the market performs 'congratulate' with Noor,Khaled.congratulate(Noor); Noor.happiness += 0.2,Congratulations increase happiness,en,"[""Khaled"", ""Noor""]","[""congratulate""]","[""happiness""]",train,ex190
في البيت: تسخين على سيارة,سيارة.تسخين(); سيارة.حرارة += 0.3; سيارة.طاقة -= 0.05,التسخين يرفع الحرارة,ar,"[""سيارة""]","[""تسخين""]","[""حرارة"", ""طاقة""]",train,ex191
at the hospital: cool on Box,Box.cool(); Box.temperature -= 0.3,Cooling lowers temperature,en,"[""Box""]","[""cool""]","[""temperature""]",train,ex192
في المستشفى: تسريع على صندوق,صندوق.تسريع(); صندوق.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""صندوق""]","[""تسريع""]","[""سرعة""]",train,ex193
at the hospital: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex194
فاطمة في المستشفى يقوم بفعل 'تهنئة' مع علي,فاطمة.تهنئة(علي); علي.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""فاطمة"", ""علي""]","[""تهنئة""]","[""سعادة""]",train,ex195
at home: heat on Ball,Ball.heat(); Ball.temperature += 0.3; Ball.energy -= 0.05,Heating raises temperature,en,"[""Ball""]","[""heat""]","[""temperature"", ""energy""]",train,ex196
ليلى في المدرسة يقوم بفعل 'تشجيع' مع علي,ليلى.تشجيع(علي); علي.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""ليلى"", ""علي""]","[""تشجيع""]","[""ثقة""]",train,ex197
Maryam at work performs 'apologize' with Fatimah,Maryam.apologize(Fatimah); Fatimah.anger -= 0.2; Fatimah.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Maryam"", ""Fatimah""]","[""apologize""]","[""anger"", ""trust""]",train,ex198
نور في العمل يقوم بفعل 'نصح' مع خالد,نور.نصح(خالد); خالد.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""نور"", ""خالد""]","[""نصح""]","[""تركيز""]",train,ex199
at the market: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex200
في العمل: تسريع على ماء,ماء.تسريع(); ماء.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""ماء""]","[""تسريع""]","[""سرعة""]",train,ex201
at the market: cool on Box,Box.cool(); Box.temperature -= 0.3,Cooling lowers temperature,en,"[""Box""]","[""cool""]","[""temperature""]",train,ex202
في الحديقة: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex203
at work: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex204
في البيت: سحب على صندوق,صندوق.سحب(); صندوق.سرعة += 0.1; صندوق.طاقة -= 0.05,السحب يغير السرعة وقد يقلل الطاقة,ar,"[""صندوق""]","[""سحب""]","[""سرعة"", ""طاقة""]",train,ex205
at the market: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex206
نور في الحديقة يقوم بفعل 'نصح' مع يوسف,نور.نصح(يوسف); يوسف.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""نور"", ""يوسف""]","[""نصح""]","[""تركيز""]",train,ex207
Khaled at the hospital performs 'serve_meal' with Noor,Khaled.serve_meal(Noor); Noor.hunger -= 0.4; Noor.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Khaled"", ""Noor""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex208
في السوق: تسريع على سيارة,سيارة.تسريع(); سيارة.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""سيارة""]","[""تسريع""]","[""سرعة""]",train,ex209
Mohammed at work performs 'serve_meal' with Noor,Mohammed.serve_meal(Noor); Noor.hunger -= 0.4; Noor.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Mohammed"", ""Noor""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex210
في المدرسة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex211
at the hospital: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex212
في الحديقة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex213
at home: push on Object,Object.push(); Object.speed += 0.2; Object.energy -= 0.05,Pushing increases speed based on force and mass,en,"[""Object""]","[""push""]","[""speed"", ""energy""]",train,ex214
في السوق: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex215
in the park: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex216
في السوق: دفع على صندوق,صندوق.دفع(); صندوق.سرعة += 0.2; صندوق.طاقة -= 0.05,الدفع يزيد السرعة وفق القوة والكتلة,ar,"[""صندوق""]","[""دفع""]","[""سرعة"", ""طاقة""]",train,ex217
at work: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex218
في السوق: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex219
Noor at work performs 'serve_meal' with Ali,Noor.serve_meal(Ali); Ali.hunger -= 0.4; Ali.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Noor"", ""Ali""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex220
في الحديقة: سحب على كرة,كرة.سحب(); كرة.سرعة += 0.1; كرة.طاقة -= 0.05,السحب يغير السرعة وقد يقلل الطاقة,ar,"[""كرة""]","[""سحب""]","[""سرعة"", ""طاقة""]",train,ex221
at the market: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex222
سارة في المدرسة يقوم بفعل 'نصح' مع محمد,سارة.نصح(محمد); محمد.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""سارة"", ""محمد""]","[""نصح""]","[""تركيز""]",train,ex223
in the park: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex224
محمد في الحديقة يقوم بفعل 'مواساة' مع نور,محمد.مواساة(نور); نور.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""محمد"", ""نور""]","[""مواساة""]","[""حزن""]",train,ex225
at school: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex226
أحمد في السوق يقوم بفعل 'تقديم_وجبة' مع ليلى,أحمد.تقديم_وجبة(ليلى); ليلى.جوع -= 0.4; ليلى.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""أحمد"", ""ليلى""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex227
at home: heat on Water,Water.heat(); Water.temperature += 0.3; Water.energy -= 0.05,Heating raises temperature,en,"[""Water""]","[""heat""]","[""temperature"", ""energy""]",train,ex228
خالد في البيت يقوم بفعل 'اعتذار' مع سارة,خالد.اعتذار(سارة); سارة.غضب -= 0.2; سارة.ثقة += 0.1,الاعتذار يقلل الغضب ويزيد الثقة قليلًا,ar,"[""خالد"", ""سارة""]","[""اعتذار""]","[""غضب"", ""ثقة""]",train,ex229
in the park: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex230
في المستشفى: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex231
at school: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex232
في العمل: تبريد على سيارة,سيارة.تبريد(); سيارة.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""سيارة""]","[""تبريد""]","[""حرارة""]",train,ex233
at the hospital: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex234
نور في البيت يقوم بفعل 'مواساة' مع خالد,نور.مواساة(خالد); خالد.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""نور"", ""خالد""]","[""مواساة""]","[""حزن""]",train,ex235
at the market: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex236
نور في المدرسة يقوم بفعل 'تهنئة' مع مريم,نور.تهنئة(مريم); مريم.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""نور"", ""مريم""]","[""تهنئة""]","[""سعادة""]",train,ex237
at the market: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex238
علي في البيت يقوم بفعل 'تقديم_وجبة' مع خالد,علي.تقديم_وجبة(خالد); خالد.جوع -= 0.4; خالد.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""علي"", ""خالد""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex239
at the market: accelerate on Water,Water.accelerate(); Water.speed += 0.25,Acceleration raises speed,en,"[""Water""]","[""accelerate""]","[""speed""]",train,ex240
في البيت: طبيب يقوم بـطمأنة لـ مريض,طبيب.طمأنة(مريض); مريض.خوف -= 0.25,الطمأنة تقلل الخوف,ar,"[""طبيب"", ""مريض""]","[""طمأنة""]","[""خوف""]",train,ex241
Maryam at the hospital performs 'encourage' with Noor,Maryam.encourage(Noor); Noor.trust += 0.25,Encouragement increases trust,en,"[""Maryam"", ""Noor""]","[""encourage""]","[""trust""]",train,ex242
يوسف في المستشفى يقوم بفعل 'تقديم_وجبة' مع نور,يوسف.تقديم_وجبة(نور); نور.جوع -= 0.4; نور.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""يوسف"", ""نور""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex243
at the market: accelerate on Box,Box.accelerate(); Box.speed += 0.25,Acceleration raises speed,en,"[""Box""]","[""accelerate""]","[""speed""]",train,ex244
في الحديقة: تسخين على سيارة,سيارة.تسخين(); سيارة.حرارة += 0.3; سيارة.طاقة -= 0.05,التسخين يرفع الحرارة,ar,"[""سيارة""]","[""تسخين""]","[""حرارة"", ""طاقة""]",train,ex245
in the park: push on Water,Water.push(); Water.speed += 0.2; Water.energy -= 0.05,Pushing increases speed based on force and mass,en,"[""Water""]","[""push""]","[""speed"", ""energy""]",train,ex246
يوسف في العمل يقوم بفعل 'تقديم_وجبة' مع مريم,يوسف.تقديم_وجبة(مريم); مريم.جوع -= 0.4; مريم.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""يوسف"", ""مريم""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex247
in the park: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex248
أحمد في المستشفى يقوم بفعل 'تشجيع' مع نور,أحمد.تشجيع(نور); نور.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""أحمد"", ""نور""]","[""تشجيع""]","[""ثقة""]",train,ex249
Fatimah in the park performs 'comfort' with Layla,Fatimah.comfort(Layla); Layla.sadness -= 0.3,Comforting reduces sadness,en,"[""Fatimah"", ""Layla""]","[""comfort""]","[""sadness""]",train,ex250
في السوق: تسريع على جسم,جسم.تسريع(); جسم.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""جسم""]","[""تسريع""]","[""سرعة""]",train,ex251
in the park: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex252
في الحديقة: طبيب يقوم بـطمأنة لـ مريض,طبيب.طمأنة(مريض); مريض.خوف -= 0.25,الطمأنة تقلل الخوف,ar,"[""طبيب"", ""مريض""]","[""طمأنة""]","[""خوف""]",train,ex253
in the park: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex254
في الحديقة: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex255
Ahmed at school performs 'advise' with Maryam,Ahmed.advise(Maryam); Maryam.focus += 0.2,Advice to stay calm improves focus,en,"[""Ahmed"", ""Maryam""]","[""advise""]","[""focus""]",train,ex256
في الحديقة: تسخين على سيارة,سيارة.تسخين(); سيارة.حرارة += 0.3; سيارة.طاقة -= 0.05,التسخين يرفع الحرارة,ar,"[""سيارة""]","[""تسخين""]","[""حرارة"", ""طاقة""]",train,ex257
